Emphasis,Condition,Score
1.00E+00,1.00E+00,5.27E+01
0.00E+00,0.00E+00,1.38E+01
1.00E+00,0.00E+00,7.81E+00
0.00E+00,1.00E+00,9.71E+01
1.00E+00,1.00E+00,9.17E+01
0.00E+00,0.00E+00,3.63E+01
0.00E+00,1.00E+00,1.84E+02
1.00E+00,1.00E+00,1.29E+02
0.00E+00,0.00E+00,3.80E+01
1.00E+00,0.00E+00,5.85E+01
0.00E+00,1.00E+00,8.88E+01
1.00E+00,1.00E+00,1.36E+02
0.00E+00,0.00E+00,3.23E+01
1.00E+00,0.00E+00,8.89E+00
0.00E+00,1.00E+00,1.59E+02
1.00E+00,1.00E+00,4.14E+01
0.00E+00,0.00E+00,1.41E+02
1.00E+00,0.00E+00,1.48E+00
0.00E+00,1.00E+00,1.21E+02
1.00E+00,1.00E+00,7.59E+01
0.00E+00,0.00E+00,1.29E+01
1.00E+00,0.00E+00,2.68E+01
0.00E+00,1.00E+00,1.78E+02
1.00E+00,1.00E+00,1.76E+01
0.00E+00,0.00E+00,3.73E+01
