,participant_id,Condition,Trial_number,Error,Block
0,0,Sudden,0,,0
1,1,Gradual,0,,0
2,2,Sudden,0,,0
3,3,Gradual,0,0.23213422776614145,0
4,4,Sudden,0,0.3821237235614085,0
5,5,Gradual,0,0.33407801753658783,0
6,6,Sudden,0,0.18008167647453438,0
7,7,Gradual,0,0.19605788491246998,0
8,8,Sudden,0,0.18105248473833624,0
9,9,Gradual,0,0.24777885032689184,0
10,10,Sudden,0,0.41506892702840315,0
11,11,Gradual,0,0.34266682011516425,0
12,12,Sudden,0,0.2569860790945909,0
13,13,Gradual,0,0.28429198622315177,0
14,0,Sudden,1,,0
15,1,Gradual,1,,0
16,2,Sudden,1,,0
17,3,Gradual,1,0.24755496552213807,0
18,4,Sudden,1,0.40202403684642646,0
19,5,Gradual,1,0.32291554567423963,0
20,6,Sudden,1,0.1945169173396954,0
21,7,Gradual,1,0.22076997708379625,0
22,8,Sudden,1,0.22625332043196136,0
23,9,Gradual,1,0.22003712081758536,0
24,10,Sudden,1,0.4070629741837295,0
25,11,Gradual,1,0.39061014387428544,0
26,12,Sudden,1,0.2545078764700653,0
27,13,Gradual,1,0.2840533854499308,0
28,0,Sudden,2,,0
29,1,Gradual,2,,0
30,2,Sudden,2,,0
31,3,Gradual,2,0.2693433709449443,0
32,4,Sudden,2,0.42786368830489374,0
33,5,Gradual,2,0.30018116702421627,0
34,6,Sudden,2,0.21086353117037362,0
35,7,Gradual,2,0.25806492129726194,0
36,8,Sudden,2,0.2836484357627439,0
37,9,Gradual,2,0.180132683118413,0
38,10,Sudden,2,0.39035765780468423,0
39,11,Gradual,2,0.4555028509261697,0
40,12,Sudden,2,0.2529486027351552,0
41,13,Gradual,2,0.28129957538137884,0
42,0,Sudden,3,,0
43,1,Gradual,3,,0
44,2,Sudden,3,,0
45,3,Gradual,3,0.2855765131899099,0
46,4,Sudden,3,0.4428450101452043,0
47,5,Gradual,3,0.2681396089497537,0
48,6,Sudden,3,0.21594491204275842,0
49,7,Gradual,3,0.29106651177715887,0
50,8,Sudden,3,0.31092717636082573,0
51,9,Gradual,3,0.14879618597265146,0
52,10,Sudden,3,0.3612186700649989,0
53,11,Gradual,3,0.501891140645035,0
54,12,Sudden,3,0.2571979915366956,0
55,13,Gradual,3,0.2756172936327497,0
56,0,Sudden,4,,0
57,1,Gradual,4,,0
58,2,Sudden,4,,0
59,3,Gradual,4,0.28874342278922965,0
60,4,Sudden,4,0.4397010682312502,0
61,5,Gradual,4,0.23335997846066014,0
62,6,Sudden,4,0.20622071544796067,0
63,7,Gradual,4,0.3079082102584464,0
64,8,Sudden,4,0.29087021216887265,0
65,9,Gradual,4,0.13931432737683558,0
